date,custom_fsi
1971-02-01,
1971-03-01,
1971-04-01,
1971-05-01,
1971-06-01,
1971-07-01,
1971-08-01,
1971-09-01,
1971-10-01,
1971-11-01,
1971-12-01,
1972-01-01,
1972-02-01,
1972-03-01,
1972-04-01,
1972-05-01,
1972-06-01,
1972-07-01,
1972-08-01,
1972-09-01,
1972-10-01,
1972-11-01,
1972-12-01,
1973-01-01,
1973-02-01,
1973-03-01,
1973-04-01,
1973-05-01,
1973-06-01,
1973-07-01,
1973-08-01,
1973-09-01,
1973-10-01,
1973-11-01,
1973-12-01,
1974-01-01,
1974-02-01,
1974-03-01,
1974-04-01,
1974-05-01,
1974-06-01,
1974-07-01,
1974-08-01,
1974-09-01,
1974-10-01,
1974-11-01,
1974-12-01,
1975-01-01,
1975-02-01,
1975-03-01,
1975-04-01,
1975-05-01,
1975-06-01,
1975-07-01,
1975-08-01,
1975-09-01,
1975-10-01,
1975-11-01,
1975-12-01,
1976-01-01,
1976-02-01,
1976-03-01,
1976-04-01,
1976-05-01,
1976-06-01,
1976-07-01,
1976-08-01,
1976-09-01,
1976-10-01,
1976-11-01,
1976-12-01,
1977-01-01,
1977-02-01,
1977-03-01,
1977-04-01,
1977-05-01,
1977-06-01,
1977-07-01,
1977-08-01,
1977-09-01,
1977-10-01,
1977-11-01,
1977-12-01,
1978-01-01,
1978-02-01,
1978-03-01,
1978-04-01,
1978-05-01,
1978-06-01,
1978-07-01,
1978-08-01,
1978-09-01,
1978-10-01,
1978-11-01,
1978-12-01,
1979-01-01,
1979-02-01,
1979-03-01,
1979-04-01,
1979-05-01,
1979-06-01,-1.6667012600927942
1979-07-01,-1.933878856926588
1979-08-01,-1.150263121960519
1979-09-01,-0.3248935496561627
1979-10-01,0.8792828254653497
1979-11-01,0.48750233493008077
1979-12-01,-0.16653140500109334
1980-01-01,-1.1815842222141495
1980-02-01,-0.359993699245801
1980-03-01,2.2631934542180336
1980-04-01,-0.805264758151353
1980-05-01,-3.9520776377513998
1980-06-01,-3.5592660495169754
1980-07-01,-3.163037307147775
1980-08-01,-2.101797885144611
1980-09-01,-1.2219872641667002
1980-10-01,-0.8558573101550137
1980-11-01,-0.22802262438867935
1980-12-01,0.24907343534517984
1981-01-01,-0.48447251727192064
1981-02-01,-0.4567439054419051
1981-03-01,-0.8217721478629697
1981-04-01,-0.7910340855399661
1981-05-01,0.37256268022868977
1981-06-01,-0.10630382425577359
1981-07-01,-0.08338614875986211
1981-08-01,0.24660330362267036
1981-09-01,-0.08426727022187987
1981-10-01,-1.104093952780449
1981-11-01,-2.2353565480521596
1981-12-01,-2.0215741737463087
1982-01-01,-1.4378789899993618
1982-02-01,-0.8682098145632678
1982-03-01,-0.9423007874603485
1982-04-01,-0.9339535770459519
1982-05-01,-1.1501019096069405
1982-06-01,-1.1147276980117613
1982-07-01,-1.50089343755896
1982-08-01,-2.1715282528830517
1982-09-01,-1.8631218434333143
1982-10-01,-1.9828242822059472
1982-11-01,-1.94179728421445
1982-12-01,-2.000178824607081
1983-01-01,-2.1822853398923043
1983-02-01,-2.034055085191551
1983-03-01,-1.702928205974233
1983-04-01,-1.6288311361306052
1983-05-01,-1.639837789205991
1983-06-01,-1.3608383120437524
1983-07-01,-1.3557059814530228
1983-08-01,-1.410809923188021
1983-09-01,-1.4665297862993096
1983-10-01,-1.5357461815640587
1983-11-01,-1.5488813473120708
1983-12-01,-1.4733434696140977
1984-01-01,-1.4735069823639688
1984-02-01,-1.459567092041576
1984-03-01,-1.3716122725619309
1984-04-01,-1.2843177375886212
1984-05-01,-1.2485121515692923
1984-06-01,-0.9460400240713411
1984-07-01,-0.7613853982203879
1984-08-01,-0.5470489546256002
1984-09-01,-0.5797207893441008
1984-10-01,-0.824873503539083
1984-11-01,-1.1866385365052565
1984-12-01,-1.5575939759688322
1985-01-01,-1.6451028886672476
1985-02-01,-1.490416697503954
1985-03-01,-1.2588649971731052
1985-04-01,-1.4278390723965655
1985-05-01,-1.493166493558887
1985-06-01,-1.467686508879878
1985-07-01,-1.489649149139408
1985-08-01,-1.3171029765669802
1985-09-01,-1.2892763925509678
1985-10-01,-1.2450384473646359
1985-11-01,-1.0622920194663321
1985-12-01,-0.9631732227042531
1986-01-01,-0.8922289745052047
1986-02-01,-0.5851120540116085
1986-03-01,-0.41516905842301355
1986-04-01,-0.45052561634982496
1986-05-01,-0.48399263971595075
1986-06-01,-0.4530898049333748
1986-07-01,-0.4711773118564506
1986-08-01,-0.6673871476835953
1986-09-01,-0.9183518882083125
1986-10-01,-0.9507313551232716
1986-11-01,-0.7666196901538651
1986-12-01,-0.6256009604779948
1987-01-01,-0.637199262781509
1987-02-01,-0.6896801772616096
1987-03-01,-0.5400811903959793
1987-04-01,-0.2506265414675129
1987-05-01,0.009749015272269587
1987-06-01,-0.05182221105435258
1987-07-01,-0.3566811885891761
1987-08-01,-0.7180818833759522
1987-09-01,-0.5973920307964179
1987-10-01,0.24126019401548834
1987-11-01,0.0620516085359838
1987-12-01,0.16601977426659864
1988-01-01,-0.22096437424750917
1988-02-01,-0.36787357292342204
1988-03-01,-0.5876479975934279
1988-04-01,-0.5152800953594319
1988-05-01,-0.7069052206554786
1988-06-01,-0.48764784725116705
1988-07-01,-0.30813807392542764
1988-08-01,-0.2998900280152941
1988-09-01,-0.5290090155806239
1988-10-01,-0.642903025971237
1988-11-01,-0.6323097829985043
1988-12-01,-0.38952066366583676
1989-01-01,-0.46649494364877997
1989-02-01,-0.42171714866969634
1989-03-01,-0.18665123011620385
1989-04-01,-0.07330995525948339
1989-05-01,-0.14474220432614604
1989-06-01,-0.13201030690582125
1989-07-01,-0.3322951547988775
1989-08-01,-0.4204289991897354
1989-09-01,-0.16369878475585156
1989-10-01,-0.21450738800620078
1989-11-01,-0.3857510105607948
1989-12-01,-0.3191364441867636
1990-01-01,-0.6607990784918081
1990-02-01,-0.7522581666174543
1990-03-01,-0.7307649319251915
1990-04-01,-0.6484957672958559
1990-05-01,-0.6098856521883861
1990-06-01,-0.6323554185770058
1990-07-01,-0.7261742923811826
1990-08-01,-0.8665722532906862
1990-09-01,-0.6853913295838847
1990-10-01,-0.34784550146639687
1990-11-01,-0.08495753224157827
1990-12-01,0.07637074036180526
1991-01-01,-0.060264642112505665
1991-02-01,-0.484624453084666
1991-03-01,-0.7553798786852503
1991-04-01,-0.9075291755657211
1991-05-01,-1.040300380578848
1991-06-01,-1.0948302018091804
1991-07-01,-1.1887089011429208
1991-08-01,-1.2168412694535717
1991-09-01,-1.1355262810555202
1991-10-01,-1.028862397295642
1991-11-01,-1.018965532885419
1991-12-01,-0.9793725971707182
1992-01-01,-1.130898591944185
1992-02-01,-1.3222065098744016
1992-03-01,-0.7806506162814291
1992-04-01,-0.9633196380447451
1992-05-01,-1.2470550698608676
1992-06-01,-1.1308557521811482
1992-07-01,-1.3074985231853626
1992-08-01,-0.9916682792233875
1992-09-01,-0.9793620717624528
1992-10-01,-0.10697768193158098
1992-11-01,-0.6463059574253788
1992-12-01,-1.0587496889309904
1993-01-01,-0.9962886338678795
1993-02-01,-0.6995333329209668
1993-03-01,-0.6333845985195315
1993-04-01,-0.710402848678048
1993-05-01,-0.5614556001440989
1993-06-01,-0.6936841239291298
1993-07-01,-0.7853650844739096
1993-08-01,-0.7936859160563967
1993-09-01,-0.4870349038488214
1993-10-01,-0.5660924536912165
1993-11-01,-0.21212265846149825
1993-12-01,-0.7155974321302343
1994-01-01,-0.719254007392851
1994-02-01,-0.324825711461613
1994-03-01,-0.11465751264478134
1994-04-01,0.02538333386828651
1994-05-01,-0.3736929074888034
1994-06-01,-0.3529768214916078
1994-07-01,-0.4992642515684619
1994-08-01,-0.5898950988105399
1994-09-01,-0.29958909096456826
1994-10-01,0.09706868422180609
1994-11-01,0.1847357487271901
1994-12-01,0.07224516103013526
1995-01-01,-0.3073486937702908
1995-02-01,-0.46903467002360966
1995-03-01,-0.2551137513167991
1995-04-01,-0.16467458240344965
1995-05-01,-0.22316190609390782
1995-06-01,-0.1164326223523486
1995-07-01,-0.032680965348423456
1995-08-01,0.00369306999038338
1995-09-01,-0.010916710093768206
1995-10-01,0.43036609501742135
1995-11-01,0.017644349104415542
1995-12-01,-0.014199327520190631
1996-01-01,0.23830241463431423
1996-02-01,0.37487845134044967
1996-03-01,0.7476790490289997
1996-04-01,0.5379973502057835
1996-05-01,0.28761243366533434
1996-06-01,0.2531423876571087
1996-07-01,0.44287946572512965
1996-08-01,0.14738092509793624
1996-09-01,0.2558269479168243
1996-10-01,0.24228716883194576
1996-11-01,0.19621765812021877
1996-12-01,0.6765866722146225
1997-01-01,0.5030792368996073
1997-02-01,0.5250096774402675
1997-03-01,0.4542072806174825
1997-04-01,0.4714347506125643
1997-05-01,0.5614667677165233
1997-06-01,0.6836363033391661
1997-07-01,0.5619591879825668
1997-08-01,0.648372989897387
1997-09-01,0.7686226868670303
1997-10-01,0.7775211295214548
1997-11-01,1.1466630762456473
1997-12-01,0.7390040008031482
1998-01-01,0.536544143785485
1998-02-01,0.2810805414951621
1998-03-01,0.3775874677239769
1998-04-01,0.559589643606287
1998-05-01,0.4135872141179416
1998-06-01,0.4923380997496291
1998-07-01,0.41755326850112406
1998-08-01,1.1151525314595017
1998-09-01,1.6745203505923842
1998-10-01,1.9234451768897638
1998-11-01,1.1335455807568509
1998-12-01,1.1335416732382053
1999-01-01,1.0912390269597891
1999-02-01,0.8886554157248402
1999-03-01,0.6634342367998709
1999-04-01,0.6734713625308318
1999-05-01,0.5326361007744075
1999-06-01,0.4431165861169825
1999-07-01,0.4868506640368682
1999-08-01,0.62550053848481
1999-09-01,0.7924955234299722
1999-10-01,1.0559425162506193
1999-11-01,0.6747920528410027
1999-12-01,0.46610593501907327
2000-01-01,0.15994836398185733
2000-02-01,0.22799683923035152
2000-03-01,0.46410232078052893
2000-04-01,1.0061137085480414
2000-05-01,1.2041646527277299
2000-06-01,1.056475363120034
2000-07-01,0.6408675527574776
2000-08-01,0.5710707110985571
2000-09-01,0.7311557576660811
2000-10-01,0.9442989057398874
2000-11-01,0.8775542536914124
2000-12-01,1.1448923705324976
2001-01-01,0.7121735471505611
2001-02-01,0.5639448185814211
2001-03-01,0.8989804361155788
2001-04-01,0.8725319158823845
2001-05-01,0.20626414522463332
2001-06-01,-0.0013855254867590505
2001-07-01,-0.00402488772837291
2001-08-01,0.03837690240866994
2001-09-01,0.7819267865554892
2001-10-01,0.5138201222758487
2001-11-01,0.12890195093883963
2001-12-01,-0.15115452252114428
2002-01-01,-0.351040451319899
2002-02-01,-0.19284103829962534
2002-03-01,-0.36944547323455246
2002-04-01,-0.31229226258163595
2002-05-01,-0.34054794947589023
2002-06-01,-0.0784566038489745
2002-07-01,0.32086143593408945
2002-08-01,0.3132512993577814
2002-09-01,0.634662257740708
2002-10-01,0.6100062072172246
2002-11-01,0.18508271356177977
2002-12-01,0.056980017495534115
2003-01-01,-0.09298511482117972
2003-02-01,-0.004690684326200598
2003-03-01,-0.07991348801779982
2003-04-01,-0.4774369030916927
2003-05-01,-0.5593155039588731
2003-06-01,-0.5197658486911471
2003-07-01,-0.8020790673847014
2003-08-01,-0.8692823529773515
2003-09-01,-0.8590930928976555
2003-10-01,-0.914756164496165
2003-11-01,-0.916002837187897
2003-12-01,-0.915992668222966
2004-01-01,-0.9836053501412568
2004-02-01,-1.0558534282375376
2004-03-01,-0.9095390283578795
2004-04-01,-1.057538569280491
2004-05-01,-0.9667684627800113
2004-06-01,-0.9693006432588979
2004-07-01,-0.8329988645622732
2004-08-01,-0.7515801607133187
2004-09-01,-0.8148556750119009
2004-10-01,-0.7124251083640353
2004-11-01,-0.8257123513798925
2004-12-01,-0.8106357094878325
2005-01-01,-0.7495609211735698
2005-02-01,-0.8570020126267598
2005-03-01,-0.8301810060522068
2005-04-01,-0.6012811929084031
2005-05-01,-0.4237218090372925
2005-06-01,-0.44197818673023265
2005-07-01,-0.5371690710515226
2005-08-01,-0.499305828932222
2005-09-01,-0.3462575798188874
2005-10-01,-0.25024025505157627
2005-11-01,-0.3195571397164711
2005-12-01,-0.22590105682296652
2006-01-01,-0.3753566825310543
2006-02-01,-0.41700016839467025
2006-03-01,-0.4140914528267994
2006-04-01,-0.39323312719225967
2006-05-01,-0.32950642433267385
2006-06-01,-0.05842175640281887
2006-07-01,-0.14857725625909574
2006-08-01,-0.27550514936750664
2006-09-01,-0.22042708142885442
2006-10-01,-0.3505218850691344
2006-11-01,-0.4084123676463268
2006-12-01,-0.3164147514328219
2007-01-01,-0.44864575569560955
2007-02-01,-0.4936979240503627
2007-03-01,-0.22241624898956336
2007-04-01,-0.258407795985258
2007-05-01,-0.1506009944210541
2007-06-01,-0.06066189958995558
2007-07-01,-0.12345852340635326
2007-08-01,0.9295074851403795
2007-09-01,1.0393815162295932
2007-10-01,0.5410522638638638
2007-11-01,1.2323419241857032
2007-12-01,1.3939860851338868
2008-01-01,0.9711770372921114
2008-02-01,0.7893403487693995
2008-03-01,1.3845704349806431
2008-04-01,1.1617997706103271
2008-05-01,0.5313174357258668
2008-06-01,0.6515858602307371
2008-07-01,0.9917587667895551
2008-08-01,0.8168078444292877
2008-09-01,2.0127964160081557
2008-10-01,4.288721023399518
2008-11-01,3.389032278707858
2008-12-01,3.0269479532551005
2009-01-01,2.029970307435006
2009-02-01,1.6559566713801495
2009-03-01,1.7692262763971969
2009-04-01,1.3822083103806966
2009-05-01,0.6371808620121749
2009-06-01,0.01845395117463412
2009-07-01,-0.22067830936819888
2009-08-01,-0.4588622370815907
2009-09-01,-0.5349169362462853
2009-10-01,-0.5279613352385711
2009-11-01,-0.5749088350859735
2009-12-01,-0.7322476659793977
2010-01-01,-0.8718512855406282
2010-02-01,-0.8046857742219478
2010-03-01,-0.9537358800533902
2010-04-01,-0.9903846873581621
2010-05-01,-0.3666433315371488
2010-06-01,-0.16702136459502454
2010-07-01,-0.30429035933923543
2010-08-01,-0.3631563344821614
2010-09-01,-0.443462170181506
2010-10-01,-0.4261525173853885
2010-11-01,-0.4896392594144669
2010-12-01,-0.7835202569694587
2011-01-01,-0.8657473770085846
2011-02-01,-0.8889094711196805
2011-03-01,-0.728579011227097
2011-04-01,-0.8582716158183942
2011-05-01,-0.7856986264760344
2011-06-01,-0.6661345578084578
2011-07-01,-0.658001782693215
2011-08-01,0.08700797251987685
2011-09-01,0.3469296332815492
2011-10-01,0.21183753056168436
2011-11-01,0.2287246777702135
2011-12-01,0.15830512028770255
2012-01-01,0.009108361337516411
2012-02-01,-0.14081730554285565
2012-03-01,-0.30382212980018936
2012-04-01,-0.20674373281959857
2012-05-01,-0.00012190108626850402
2012-06-01,0.1046627170677823
2012-07-01,-0.012813517146254247
2012-08-01,-0.16847730220746882
2012-09-01,-0.271924854114128
2012-10-01,-0.38308181193277846
2012-11-01,-0.3420881443616954
2012-12-01,-0.31070796995170646
2013-01-01,-0.519669394740004
2013-02-01,-0.5276099325907958
2013-03-01,-0.5369113731058711
2013-04-01,-0.4594341251210805
2013-05-01,-0.5239537157718973
2013-06-01,-0.47034342880236213
2013-07-01,-0.6992525002362028
2013-08-01,-0.7604240724819377
2013-09-01,-0.7487742490751564
2013-10-01,-0.6994278117711253
2013-11-01,-0.8348488211259855
2013-12-01,-0.9032482962866857
2014-01-01,-0.9099723901828116
2014-02-01,-0.830771323628709
2014-03-01,-0.84806339571184
2014-04-01,-0.8936466103404952
2014-05-01,-0.9051310780105176
2014-06-01,-0.9215600135931111
2014-07-01,-0.8550494385263185
2014-08-01,-0.760805234604555
2014-09-01,-0.7569928888528666
2014-10-01,-0.5355679121956213
2014-11-01,-0.6281713028608924
2014-12-01,-0.4365712428006797
2015-01-01,-0.25009535190838106
2015-02-01,-0.3614632921200726
2015-03-01,-0.4221396994800205
2015-04-01,-0.42800973871027975
2015-05-01,-0.42808481890044997
2015-06-01,-0.39096521009830176
2015-07-01,-0.3432868974157399
2015-08-01,-0.075486018359565
2015-09-01,0.18332463460778745
2015-10-01,-0.006952940638694477
2015-11-01,-0.08368815947067822
2015-12-01,0.05977964982660479
2016-01-01,0.36331292510837415
2016-02-01,0.4085667754318162
2016-03-01,0.09586921191285334
2016-04-01,-0.0200711651597924
2016-05-01,-0.055641774199629186
2016-06-01,0.0775768693674534
2016-07-01,-0.10004699882732764
2016-08-01,-0.051646008302612546
2016-09-01,0.024903907460999155
2016-10-01,-0.014882803981731639
2016-11-01,-0.15287240749584374
2016-12-01,-0.37209990811306126
2017-01-01,-0.38959721372083844
2017-02-01,-0.38383414728852866
2017-03-01,-0.4500791155063364
2017-04-01,-0.3654938062870244
2017-05-01,-0.4812335451048468
2017-06-01,-0.47303947044020894
2017-07-01,-0.5860213103344336
2017-08-01,-0.4493934563891088
2017-09-01,-0.4813054182948928
