date,DFM_F1,DFM_F2
1996-01-01,1.6076085834595149,0.3875321835614887
1996-02-01,0.7962808804141392,1.704099041259632
1996-03-01,1.2896310024759075,1.2459338835041665
1996-04-01,1.26303474920101,0.5072592319167724
1996-05-01,1.228931327411555,-0.08950523309013769
1996-06-01,0.3967217797772955,-0.07137948283581474
1996-07-01,0.2901655462423962,-0.3350925411452376
1996-08-01,-0.029733232618570693,-0.5840110526930222
1996-09-01,0.029423780646849425,-0.32956786183695197
1996-10-01,-0.08775333901431563,0.021847491059617863
1996-11-01,0.2532895889780223,-0.370243228853583
1996-12-01,0.25855398124381224,-0.1638172514109374
1997-01-01,0.2648121465691273,-0.47137672003525644
1997-02-01,0.08577332184031425,-0.47668293734411815
1997-03-01,0.24461993379524472,-1.5735665085597463
1997-04-01,0.5159812649076573,-2.6942550825374747
1997-05-01,0.4613093702234177,-2.7949769143410568
1997-06-01,0.8363250408449301,-2.7119788139222276
1997-07-01,0.5917134469582039,-2.975313433198107
1997-08-01,0.7976988159723233,-2.635255091966
1997-09-01,0.6057559465527109,-2.8032777848056925
1997-10-01,0.40732434000634815,-3.1435004454615902
1997-11-01,0.40652648589311996,-4.064953454093865
1997-12-01,0.6003780272324761,-4.432617214801035
1998-01-01,0.4310959605739627,-3.9222884147131882
1998-02-01,0.549012807051717,-3.8198926342349346
1998-03-01,0.6568570943698667,-3.7400468636244915
1998-04-01,0.3627908021724999,-4.027040812114296
1998-05-01,0.23830205986384262,-3.7157696892176175
1998-06-01,0.6657182986060599,-3.868543091056408
1998-07-01,0.8445829064602105,-3.370570145147267
1998-08-01,0.6844670873188509,-3.2077741129063178
1998-09-01,0.05707078312632219,-2.992966717922794
1998-10-01,-1.3577985080430302,-1.107578972368688
1998-11-01,-1.058081673382382,-1.610058838310974
1998-12-01,-0.7205660894774294,-2.1272682471532782
1999-01-01,0.08318096462700109,-3.03593416439036
1999-02-01,-0.3483199149669671,-2.913680274605973
1999-03-01,-1.2194661817233132,-2.4627193149598146
1999-04-01,-1.7740481274427966,-1.4769272258140345
1999-05-01,-1.904529911448046,-1.494270487846209
1999-06-01,-1.8279907655374499,-1.9887099675404267
1999-07-01,-1.7250496917478135,-2.6428724920690865
1999-08-01,-1.7867342319573183,-2.9199827956727327
1999-09-01,-1.9622723679135778,-2.879191310107662
1999-10-01,-1.960919565891341,-3.183089270450314
1999-11-01,-1.4056405328446109,-4.175902287497984
1999-12-01,-1.7132122876838065,-4.024361989687111
2000-01-01,-1.6867673548699507,-3.903409560101601
2000-02-01,-0.6830637653988368,-4.792728223799724
2000-03-01,-0.555901151666045,-5.076592439741943
2000-04-01,0.336446558416744,-7.417156733955024
2000-05-01,-0.1189142963060345,-6.402362603161974
2000-06-01,-0.29645919878404337,-5.325581603644525
2000-07-01,-0.34723828994483,-4.183814789527259
2000-08-01,0.8454344308265516,-4.662495266096684
2000-09-01,0.38976490842065203,-3.7350754469788447
2000-10-01,0.5910645539611139,-3.344599693034116
2000-11-01,0.5731366697051142,-2.478413507126131
2000-12-01,1.4302136971028125,-2.1173827731493766
2001-01-01,0.37289083959958114,1.6540293444609744
2001-02-01,0.2919687578798985,2.8903490314702545
2001-03-01,1.2949800129693159,3.292353975913357
2001-04-01,1.7810220983728828,5.257690344188092
2001-05-01,0.4520690707580268,8.004413811808426
2001-06-01,0.8030951992668036,8.251357522974663
2001-07-01,1.9030200092750613,6.908685146308166
2001-08-01,2.459145478990722,6.599526295787105
2001-09-01,1.8186827746035545,9.381121088545889
2001-10-01,2.139862656810759,11.297910770812232
2001-11-01,2.5501984632660615,12.012388975305416
2001-12-01,2.8919977633748397,11.172117816828866
2002-01-01,2.6133107291191293,9.39601377890029
2002-02-01,2.6801113855929435,8.163452583774477
2002-03-01,3.0106179001842905,7.174511188625529
2002-04-01,2.9955751404996587,7.442259103807554
2002-05-01,2.9735484450093024,7.380104264001156
2002-06-01,2.2054774340106538,7.424767133362225
2002-07-01,1.0543147434785352,8.119300626741635
2002-08-01,0.4953781963931486,7.914183676749145
2002-09-01,1.6467449010351376,6.1396937513669965
2002-10-01,1.132952713870014,6.611003428772542
2002-11-01,0.29795037764359245,7.6549318201392555
2002-12-01,-0.6253040865962005,8.956806725884244
2003-01-01,-1.116945765418809,8.899103926124004
2003-02-01,-0.8733105565612455,8.86018465134622
2003-03-01,-0.39002935036797387,8.226493435381027
2003-04-01,0.3762116505017365,7.34497362655924
2003-05-01,1.1497674739989812,6.378074197555672
2003-06-01,1.144177206375697,6.401664803589354
