date,Inflation,Labour,Financial,Monetary,Real,ESI,ESI_expanding,ESI_ML,RECESSION
2000-06-01,,13.750000000000002,87.8048780487805,92.91666666666667,68.33333333333333,83.80994097564911,77.74264734772308,,0.0
2000-07-01,,24.583333333333332,50.806451612903224,87.5,87.91666666666667,78.09981907143997,67.94346110378504,,0.0
2000-08-01,,38.75,56.00000000000001,92.5,92.5,83.43147048993859,77.11828175006814,,0.0
2000-09-01,,40.416666666666664,85.71428571428571,86.25,87.08333333333333,86.35265983929075,76.80230313851207,,0.0
2000-10-01,,47.5,95.2755905511811,84.58333333333333,91.25,90.5940442651779,83.04861745834059,,0.0
2000-11-01,,53.333333333333336,85.15625,74.16666666666667,99.16666666666667,87.62686638479512,82.8700431524773,,0.0
2000-12-01,,70.83333333333334,87.59689922480621,74.58333333333333,100.0,89.89130473109233,87.87799419746553,,0.0
2001-01-01,,80.41666666666667,79.23076923076923,25.833333333333336,99.16666666666667,86.94608968314935,83.66163210911546,,0.0
2001-02-01,,84.16666666666667,72.51908396946564,17.083333333333332,100.0,86.4642662596222,84.55281040181362,,0.0
2001-03-01,,93.33333333333333,93.18181818181817,17.5,100.0,95.56972184381452,92.65467633372027,,0.0
2001-04-01,,98.75,74.43609022556392,14.166666666666666,99.58333333333333,91.78967176429762,87.97913402153017,,1.0
2001-05-01,,99.58333333333333,28.35820895522388,3.75,99.58333333333333,82.4491777711797,79.9737101316761,,1.0
2001-06-01,,100.0,13.333333333333334,2.9166666666666665,99.58333333333333,80.50564653001979,78.17344642625883,,1.0
2001-07-01,,100.0,29.411764705882355,10.416666666666668,99.16666666666667,83.0724434672579,82.0013550330236,,1.0
2001-08-01,,100.0,55.47445255474452,14.166666666666666,98.75,87.55347096833276,86.66346315856036,,1.0
2001-09-01,,100.0,100.0,2.5,100.0,100.0,97.94223980486926,,1.0
2001-10-01,,100.0,88.48920863309353,0.0,96.66666666666667,95.17466221460762,92.89699392798995,,1.0
2001-11-01,,100.0,62.857142857142854,0.0,98.33333333333333,88.68805270373828,89.34186547799162,,1.0
2001-12-01,,99.58333333333333,9.219858156028367,1.25,98.33333333333333,79.20231491887245,79.23160308674859,,0.0
2002-01-01,,98.75,2.112676056338028,4.583333333333333,97.91666666666666,78.26573655042768,77.80925103441938,,0.0
2002-02-01,,98.33333333333333,16.083916083916083,8.75,96.25,79.40490546592075,79.07335573583936,,0.0
2002-03-01,,97.5,11.805555555555555,15.0,94.16666666666667,78.43236197419007,77.0116558454742,,0.0
2002-04-01,,97.91666666666666,25.517241379310345,13.333333333333334,93.75,79.84247058303073,80.00600063874464,,0.0
2002-05-01,,97.08333333333333,14.383561643835616,14.583333333333334,93.75,78.3234063534693,78.15775029727051,,0.0
2002-06-01,,96.25,85.71428571428571,10.0,91.66666666666666,91.32454033864468,90.75054287362948,,0.0
2002-07-01,,95.0,95.27027027027027,7.083333333333333,88.33333333333333,92.92777854383257,90.06749859172783,,0.0
2002-08-01,,93.33333333333333,72.48322147651007,7.083333333333333,89.16666666666667,85.50846364584774,84.0702080607773,,0.0
2002-09-01,,93.75,91.33333333333333,19.583333333333332,81.25,88.98827061475077,85.04450707723335,,0.0
2002-10-01,,92.5,86.09271523178808,13.333333333333334,93.33333333333333,90.70957363417321,91.00429052517659,,0.0
2002-11-01,,91.66666666666666,56.57894736842105,8.333333333333332,89.16666666666667,80.85797066064086,80.98464186924153,,0.0
2002-12-01,,91.66666666666666,19.607843137254903,1.6666666666666667,82.08333333333333,71.15228936750991,68.63306222697587,,0.0
2003-01-01,,91.25,2.5974025974025974,1.6666666666666667,81.25,68.56016658364085,63.833170754758044,,0.0
2003-02-01,,91.25,31.61290322580645,2.083333333333333,86.25,74.4369470988641,76.02114019757981,,0.0
2003-03-01,,91.25,8.974358974358974,5.416666666666667,83.75,70.59150870422157,67.6762713354183,,0.0
2003-04-01,,91.66666666666666,1.2738853503184715,10.833333333333334,90.83333333333333,73.32375859683259,70.69717633202731,,0.0
2003-05-01,,92.5,1.2658227848101267,19.166666666666668,90.0,74.41471612907333,70.92466998148733,,0.0
2003-06-01,,92.5,3.1446540880503147,19.166666666666668,88.33333333333333,73.91504178614372,70.74823988619718,,0.0
2003-07-01,,89.58333333333334,0.0,6.666666666666667,87.91666666666667,70.7392003754461,69.32404367100504,,0.0
2003-08-01,,88.33333333333333,0.0,2.083333333333333,86.66666666666667,69.23514524479933,67.42156360642986,,0.0
2003-09-01,,86.66666666666667,0.0,1.6666666666666667,80.0,65.94030490544601,60.62883756286101,,0.0
2003-10-01,,85.0,0.6134969325153374,12.083333333333334,78.33333333333333,65.91804030429157,60.16090275794578,,0.0
2003-11-01,,77.91666666666667,0.6097560975609756,25.0,70.83333333333334,62.10436745524257,56.27933806255176,,0.0
2003-12-01,,72.91666666666666,1.2121212121212122,24.583333333333332,69.58333333333333,59.594446926694175,55.26411374335943,,0.0
2004-01-01,,72.5,3.0120481927710845,23.333333333333332,71.66666666666667,60.13345964112714,56.2164203908073,,0.0
2004-02-01,,70.83333333333334,0.5988023952095809,25.0,56.25,53.926018513603225,47.28648534624865,,0.0
2004-03-01,,68.75,14.880952380952381,27.916666666666668,51.24999999999999,52.69989721585752,49.315079662691645,,0.0
2004-04-01,,65.41666666666667,3.5502958579881656,22.916666666666664,55.41666666666667,51.1538944092332,45.85421293773791,,0.0
2004-05-01,,56.25,12.941176470588237,20.416666666666668,41.25,42.58443017208744,43.94880041241625,,0.0
2004-06-01,,55.00000000000001,1.1695906432748537,27.916666666666668,59.583333333333336,49.444050401057716,47.67543911230757,,0.0
2004-07-01,,54.58333333333333,12.790697674418606,31.666666666666664,53.333333333333336,48.03375890407418,47.55462309986977,,0.0
2004-08-01,,54.58333333333333,22.54335260115607,35.0,57.91666666666667,50.868458730211536,52.9669422163585,,0.0
2004-09-01,,50.0,14.942528735632186,37.916666666666664,43.75,44.29783802928835,46.44252677399876,,0.0
2004-10-01,,50.0,20.0,35.41666666666667,39.58333333333333,42.474484955637934,45.29575495711814,,0.0
2004-11-01,,47.91666666666667,7.954545454545454,38.75,40.833333333333336,42.719998849958486,44.562997983217166,,0.0
2004-12-01,,46.666666666666664,5.649717514124294,49.166666666666664,33.75,43.78375846604678,42.86221397867258,,0.0
2005-01-01,,46.666666666666664,8.426966292134832,66.66666666666666,41.25,52.83461749414572,48.49988932848575,,0.0
2005-02-01,,45.0,0.0,72.91666666666666,32.083333333333336,52.627735442875434,46.781367184414826,,0.0
2005-03-01,,40.416666666666664,8.88888888888889,70.41666666666667,37.5,51.88056199837844,48.57581009333022,,0.0
2005-04-01,,39.166666666666664,23.204419889502763,66.25,25.833333333333336,48.46607731627045,44.307827949849994,,0.0
2005-05-01,,42.083333333333336,30.76923076923077,76.66666666666667,30.0,55.82947180571895,52.98185264172365,,0.0
2005-06-01,,38.333333333333336,33.33333333333333,86.25,8.333333333333332,57.83952080388177,54.13477408309728,,0.0
2005-07-01,,38.333333333333336,22.82608695652174,80.41666666666667,14.583333333333334,53.68438602763644,49.4930845034084,,0.0
2005-08-01,,36.25,22.702702702702705,76.25,20.0,51.78004384998545,47.60792931623938,,0.0
2005-09-01,,50.0,20.43010752688172,53.75,39.166666666666664,48.30851512168392,51.01282160353749,,0.0
2005-10-01,,55.41666666666667,40.106951871657756,64.58333333333334,41.25,56.22699688340375,59.34927625640677,,0.0
2005-11-01,,55.833333333333336,30.319148936170215,77.91666666666667,33.75,60.49855405184358,57.98261254202822,,0.0
2005-12-01,,40.0,25.396825396825395,82.08333333333333,45.416666666666664,60.2763487950391,60.146888099917966,,0.0
2006-01-01,,21.666666666666668,25.789473684210527,76.25,24.583333333333332,50.1602195743989,47.1548386853388,,0.0
2006-02-01,,19.166666666666668,15.706806282722512,87.91666666666667,44.166666666666664,58.386162769611886,53.651456665388096,,0.0
2006-03-01,,17.916666666666668,14.0625,80.41666666666667,42.5,53.981938028303,49.87826120621353,,0.0
2006-04-01,,20.833333333333336,17.098445595854923,74.58333333333333,50.83333333333333,54.384581454339326,51.24236332409868,,0.0
2006-05-01,,32.916666666666664,35.051546391752574,66.25,44.583333333333336,52.318105591553326,49.76565020187636,,0.0
