date,inflation_yoy,unemployment_change,ip_employment_proxy,cli_stress,cli_momentum,real_rate,yield_spread,rate_change,indpro_growth,country,RECESSION
1971-02-01,-18.636358384710405,1.7000000000000002,1.0985759967239606,0.3961500000000058,-1.3847399999999936,23.016358384710404,-1.7300000000000004,-4.2,1.0985759967239606,USA,0
1971-02-01,70.33334720333349,,-8.578967502472846,0.3592699999999951,0.25036999999998955,-62.86334720333349,-0.23000000000000043,-2.04,-8.578967502472846,DEU,0
1971-02-01,-12.426470153506797,,-3.9010413515031317,-0.2575999999999965,-0.5018499999999904,18.716470153506798,-2.1100000000000003,-3.5699999999999994,-3.9010413515031317,FRA,0
1971-02-01,,,11.754634773380989,0.8034099999999995,0.3336500000000058,,0.75,1.2999999999999998,11.754634773380989,AUS,0
1971-02-01,72.7330989767502,,0.2915480188052655,2.600830000000002,-0.5008699999999919,,,,0.2915480188052655,GBR,0
1971-02-01,-22.59339977141831,0.09999999999999987,-6.29743277420125,1.8115800000000064,0.7506100000000089,,,,-6.29743277420125,JPN,0
1971-02-01,,1.3999999999999995,-1.2805041735452605,0.6664999999999992,-1.4253000000000071,,-1.3374999999999995,-3.102499999999999,-1.2805041735452605,CAN,0
1971-03-01,56.89243420741599,,-9.892205659838972,0.5160300000000007,0.34677000000000646,-49.43243420741599,-0.4400000000000004,-2.3500000000000005,-9.892205659838972,DEU,0
1971-03-01,,1.0,-2.0490332041044335,0.2099800000000016,-1.460880000000003,,-2.708,-4.145500000000001,-2.0490332041044335,CAN,0
1971-03-01,-18.997747015990917,1.5999999999999996,1.2029273049772193,0.06738,-1.2611600000000038,22.84774701599092,-1.85,-4.23,1.2029273049772193,USA,0
1971-03-01,-8.008632872151612,,-4.385131095131745,-0.29340000000000543,-0.31633000000000777,14.178632872151612,-2.25,-3.380000000000001,-4.385131095131745,FRA,0
1971-03-01,,,9.361967373932224,0.9389599999999945,0.3930699999999945,,1.1600000000000001,0.8499999999999996,9.361967373932224,AUS,0
