,DFM_F1,DFM_F2
Inflation,-0.14934719606879973,-0.010433440747446017
Labour,0.32503715053120186,0.1943025724278151
Financial,0.08117089729170664,0.011818442193064408
Monetary,0.09002370213646385,-0.1820983747536919
Real,0.2229392989465046,0.09854554768446688
