date,ESI,RECESSION,stress_level,Inflation,Labour,Financial,Monetary,Real,ESI_expanding,ESI_ML
1981-08-01,74.20426615978049,1.0,High,,59.09090909090909,,91.13924050632912,15.18987341772152,74.20426615978049,
1981-09-01,76.43729388505619,1.0,High,,68.88888888888889,,87.5,23.75,75.41054648124216,
1981-10-01,76.11120781542296,1.0,High,,82.6086956521739,,71.60493827160494,45.67901234567901,76.41268613020897,
1981-11-01,76.39151722581587,1.0,High,,85.1063829787234,,23.170731707317078,71.95121951219512,74.87054610704779,
1981-12-01,84.5933788910958,1.0,Extreme,,89.58333333333334,,20.48192771084337,85.54216867469879,84.5933788910958,
1982-01-01,87.61615473246117,1.0,Extreme,,89.79591836734694,,46.42857142857143,89.28571428571429,87.05420724540245,
1982-02-01,88.3992466247947,1.0,Extreme,,90.0,,87.05882352941177,82.35294117647058,88.3247920073313,
1982-03-01,88.97699396875579,1.0,Extreme,,90.19607843137256,,88.37209302325581,81.3953488372093,88.97699396875579,
1982-04-01,88.34957492029865,1.0,Extreme,,92.3076923076923,,83.9080459770115,78.16091954022988,88.61799330438902,
1982-05-01,89.01738586983578,1.0,Extreme,,94.33962264150944,,64.77272727272727,85.22727272727273,89.36738282419498,
1982-06-01,89.41146062932836,1.0,Extreme,,94.44444444444444,,51.68539325842697,87.64044943820225,89.68314213550977,
1982-07-01,89.51884484790621,1.0,Extreme,,96.36363636363636,,42.22222222222222,86.66666666666667,89.57312369766112,
1982-08-01,89.09643455212226,1.0,Extreme,,96.42857142857144,,20.87912087912088,87.91208791208791,89.09643455212226,
1982-09-01,89.4047667347071,1.0,Extreme,,96.49122807017544,,35.869565217391305,86.95652173913044,89.61354635854218,
1982-10-01,87.76147221496544,1.0,Extreme,,96.55172413793105,,29.03225806451613,83.87096774193549,88.42866010820245,
1982-11-01,84.60621595614937,1.0,Extreme,,93.22033898305084,,43.61702127659575,78.72340425531915,84.66669324754592,
1982-12-01,77.36247227214426,0.0,High,,80.0,,43.15789473684211,77.89473684210526,76.87683124698349,
1983-01-01,75.83931315025025,0.0,High,,68.85245901639344,,33.33333333333333,85.41666666666666,74.88196674913698,
1983-02-01,81.53531883759115,0.0,Extreme,,62.903225806451616,,26.804123711340207,100.0,81.98746865651782,
1983-03-01,80.9098019673025,0.0,Extreme,,57.14285714285714,,42.85714285714285,98.9795918367347,80.20245953060238,
1983-04-01,74.32914996162273,0.0,High,,45.3125,,45.45454545454545,91.91919191919192,74.44732150018453,
1983-05-01,73.15662285982931,0.0,High,,40.0,,47.0,91.0,72.01153305794931,
1983-06-01,70.23195342243794,0.0,High,,31.818181818181817,,51.48514851485149,86.13861386138613,69.33210083989812,
1983-07-01,66.59653834503648,0.0,High,,20.8955223880597,,56.86274509803921,78.43137254901961,66.73587504039666,
1983-08-01,63.58341772124456,0.0,High,,20.588235294117645,,67.96116504854369,63.10679611650486,65.23106082003248,
1983-09-01,47.25464554864182,0.0,Moderate,,5.797101449275362,,52.88461538461539,45.19230769230769,48.90114676051149,
1983-10-01,42.496252339235824,0.0,Moderate,,1.4285714285714286,,51.42857142857142,36.19047619047619,44.06639054613335,
1983-11-01,38.3046913832472,0.0,Moderate,,0.0,,50.0,27.358490566037734,38.84811953377943,
1983-12-01,34.5208970698751,0.0,Moderate,,0.0,,50.467289719626166,14.018691588785046,34.76800253128643,
1984-01-01,29.94855586320704,0.0,Low,,0.0,,48.14814814814815,0.0,30.701394806689,
1984-02-01,29.67379846996661,0.0,Low,,0.0,,47.70642201834863,0.0,29.67379846996661,
1984-03-01,30.14318762838556,0.0,Moderate,,0.0,,48.18181818181818,0.9090909090909092,31.274043339555,
1984-04-01,37.26313234632509,0.0,Moderate,,2.631578947368421,,58.55855855855856,1.8018018018018016,38.38382733385298,
1984-05-01,39.40220637338631,0.0,Moderate,,3.896103896103896,,61.60714285714286,1.7857142857142856,42.73370963386458,
1984-06-01,50.88265512383143,0.0,Moderate,,6.41025641025641,,78.76106194690266,3.5398230088495577,51.73275211423605,
1984-07-01,52.72999085252847,0.0,Moderate,,8.860759493670885,,80.7017543859649,4.385964912280701,53.56733066462967,
1984-08-01,56.45436809056477,0.0,Moderate,,10.0,,86.08695652173914,5.217391304347826,56.994899961385535,
1984-09-01,53.31607283653268,0.0,Moderate,,12.34567901234568,,79.3103448275862,8.620689655172415,54.54226645432249,
1984-10-01,37.19595592233989,0.0,Moderate,,17.073170731707318,,51.28205128205128,10.256410256410255,39.32220262093481,
1984-11-01,29.67410804645711,0.0,Low,,18.072289156626507,,38.13559322033898,12.71186440677966,31.499713222863296,
1984-12-01,21.972133841834225,0.0,Low,,23.809523809523807,,18.487394957983195,19.327731092436977,21.50397036629006,
1985-01-01,27.39620511397002,0.0,Low,,18.823529411764707,,19.166666666666668,32.5,29.825665363509447,
1985-02-01,32.23583853368957,0.0,Moderate,,22.093023255813957,,31.40495867768595,33.88429752066116,35.2686515744198,
1985-03-01,37.20409931983751,0.0,Moderate,,22.988505747126435,,43.44262295081967,29.508196721311474,38.75502636354192,
1985-04-01,34.138228764504234,0.0,Moderate,,32.95454545454545,,35.77235772357724,26.82926829268293,35.43198264208743,
1985-05-01,34.98438324454029,0.0,Moderate,,37.07865168539326,,22.58064516129032,33.87096774193548,36.62792804314177,
1985-06-01,42.146655574035584,0.0,Moderate,,40.0,,16.0,46.400000000000006,43.92812887481599,
1985-07-01,49.24841116657456,0.0,Moderate,,37.362637362637365,,19.047619047619047,60.31746031746032,48.60947297442954,
1985-08-01,52.93760082215719,0.0,Moderate,,38.04347826086957,,23.62204724409449,65.35433070866141,53.45821251027811,
1985-09-01,50.052194300927376,0.0,Moderate,,41.935483870967744,,28.125,57.8125,50.12736054873834,
1985-10-01,51.90805421121004,0.0,Moderate,,45.74468085106383,,37.98449612403101,57.36434108527132,50.67439120305073,
1985-11-01,46.72033700323658,0.0,Moderate,,46.31578947368421,,40.0,47.69230769230769,45.39145420169382,
1985-12-01,44.81343151633392,0.0,Moderate,,42.70833333333333,,48.09160305343512,28.24427480916031,44.75591984458782,
1986-01-01,41.77647550071172,0.0,Moderate,,37.11340206185567,,47.72727272727273,17.424242424242426,41.55507332211579,
1986-02-01,43.87432500544094,0.0,Moderate,,38.775510204081634,,50.37593984962406,17.293233082706767,46.98478380653378,
1986-03-01,49.258515685898224,0.0,Moderate,,41.41414141414141,,57.46268656716418,23.134328358208958,52.35346082135939,
1986-04-01,48.574417713354464,0.0,Moderate,,42.0,,54.81481481481482,31.11111111111111,51.10354890373634,
1986-05-01,48.29260283213541,0.0,Moderate,,48.51485148514851,,48.52941176470589,43.38235294117647,47.39597425159024,
1986-06-01,47.37085543680779,0.0,Moderate,,47.05882352941176,,48.17518248175183,41.6058394160584,46.00932836427528,
