regime,coef_Inflation,coef_Labour,coef_Financial,coef_Monetary,coef_Real,top_feature
Mild / Mixed,0.36172788585776705,0.252146709350087,0.31300400447302534,0.01513091228939053,0.05799048802973019,Inflation
Systemic Crisis,0.13147679392326367,0.4705225035757875,0.29193719204838814,0.03399937658434071,0.07206413386821994,Labour
Monetary Squeeze,0.14822122540570934,0.3802568914827082,0.12011313445034696,0.3435056432503744,0.007903105410861032,Labour
Demand Shock,0.037849832991228925,0.20737235327151665,0.5178773892112295,0.0624571719107097,0.1744432526153153,Financial
Balanced Recession,0.10216646456079981,0.19347443017378357,0.142858527361016,0.17677404033003413,0.3847265375743666,Real
